kode_kabko,nama_kabko,kode_provinsi
3211,Kab. Sumedang,32
3212,Kab. Indramayu,32
3213,Kab. Subang,32
3214,Kab. Purwakarta,32
3215,Kab. Karawang,32
3216,Kab. Bekasi,32
3217,Kab. Bandung Barat,32
3218,Kab. Pangandaran,32
3271,Kota Bogor,32
3272,Kota Sukabumi,32
3273,Kota Bandung,32
3274,Kota Cirebon,32
3275,Kota Bekasi,32
3276,Kota Depok,32
3277,Kota Cimahi,32
3278,Kota Tasikmalaya,32
3279,Kota Banjar,32
3301,Kab. Cilacap,33
3302,Kab. Banyumas,33
3303,Kab. Purbalingga,33
3304,Kab. Banjarnegara,33
3305,Kab. Kebumen,33
3306,Kab. Purworejo,33
3307,Kab. Wonosobo,33
3308,Kab. Magelang,33
3309,Kab. Boyolali,33
3310,Kab. Klaten,33
3311,Kab. Sukoharjo,33
3312,Kab. Wonogiri,33
3313,Kab. Karanganyar,33
3314,Kab. Sragen,33
3315,Kab. Grobogan,33
3316,Kab. Blora,33
3317,Kab. Rembang,33
3318,Kab. Pati,33
3319,Kab. Kudus,33
3320,Kab. Jepara,33
3321,Kab. Demak,33
3322,Kab. Semarang,33
3323,Kab. Temanggung,33
3324,Kab. Kendal,33
3325,Kab. Batang,33
3326,Kab. Pekalongan,33
3327,Kab. Pemalang,33
3328,Kab. Tegal,33
3329,Kab. Brebes,33
3371,Kota Magelang,33
3372,Kota Surakarta,33
3373,Kota Salatiga,33
3374,Kota Semarang,33
3375,Kota Pekalongan,33
3376,Kota Tegal,33
3401,Kab. Kulon Progo,34
3402,Kab. Bantul,34
3403,Kab. Gunungkidul,34
3404,Kab. Sleman,34
3471,Kota Yogyakarta,34
3501,Kab. Pacitan,35
3502,Kab. Ponorogo,35
3503,Kab. Trenggalek,35
3504,Kab. Tulungagung,35
3505,Kab. Blitar,35
3506,Kab. Kediri,35
3507,Kab. Malang,35
3508,Kab. Lumajang,35
3509,Kab. Jember,35
3510,Kab. Banyuwangi,35
3511,Kab. Bondowoso,35
3512,Kab. Situbondo,35
3513,Kab. Probolinggo,35
3514,Kab. Pasuruan,35
3515,Kab. Sidoarjo,35
3516,Kab. Mojokerto,35
3517,Kab. Jombang,35
3518,Kab. Nganjuk,35
3519,Kab. Madiun,35
3520,Kab. Magetan,35
3521,Kab. Ngawi,35
3522,Kab. Bojonegoro,35
3523,Kab. Tuban,35
3524,Kab. Lamongan,35
3525,Kab. Gresik,35
3526,Kab. Bangkalan,35
3527,Kab. Sampang,35
3528,Kab. Pamekasan,35
3529,Kab. Sumenep,35
3571,Kota Kediri,35
3572,Kota Blitar,35
3573,Kota Malang,35
3574,Kota Probolinggo,35
3575,Kota Pasuruan,35
3576,Kota Mojokerto,35
3577,Kota Madiun,35
3578,Kota Surabaya,35
3579,Kota Batu,35
3601,Kab. Pandeglang,36
3602,Kab. Lebak,36
3603,Kab. Tangerang,36
3604,Kab. Serang,36
3671,Kota Tangerang,36
3672,Kota Cilegon,36
3673,Kota Serang,36
3674,Kota Tangerang Selatan,36
5101,Kab. Jembrana,51
5102,Kab. Tabanan,51
5103,Kab. Badung,51
5104,Kab. Gianyar,51
5105,Kab. Klungkung,51
5106,Kab. Bangli,51
5107,Kab. Karangasem,51
5108,Kab. Buleleng,51
5171,Kota Denpasar,51
5201,Kab. Lombok Barat,52
5202,Kab. Lombok Tengah,52
5203,Kab. Lombok Timur,52
5204,Kab. Sumbawa,52
5205,Kab. Dompu,52
5206,Kab. Bima,52
5207,Kab. Sumbawa Barat,52
5208,Kab. Lombok Utara,52
5271,Kota Mataram,52
5272,Kota Bima,52
5301,Kab. Kupang,53
5302,Kab Timor Tengah Selatan,53
5303,Kab. Timor Tengah Utara,53
5304,Kab. Belu,53
5305,Kab. Alor,53
5306,Kab. Flores Timur,53
5307,Kab. Sikka,53
5308,Kab. Ende,53
5309,Kab. Ngada,53
5310,Kab. Manggarai,53
5311,Kab. Sumba Timur,53
5312,Kab. Sumba Barat,53
5313,Kab. Lembata,53
5314,Kab. Rote Ndao,53
5315,Kab. Manggarai Barat,53
5316,Kab. Nagekeo,53
5317,Kab. Sumba Tengah,53
5318,Kab. Sumba Barat Daya,53
5319,Kab. Manggarai Timur,53
5320,Kab. Sabu Raijua,53
5321,Kab. Malaka,53
5371,Kota Kupang,53
6101,Kab. Sambas,61
6102,Kab. Mempawah,61
6103,Kab. Sanggau,61
6104,Kab. Ketapang,61
6105,Kab. Sintang,61
6106,Kab. Kapuas Hulu,61
6107,Kab. Bengkayang,61
6108,Kab. Landak,61
6109,Kab. Sekadau,61
6110,Kab. Melawi,61
6111,Kab. Kayong Utara,61
6112,Kab. Kubu Raya,61
6171,Kota Pontianak,61
6172,Kota Singkawang,61
6201,Kab. Kotawaringin Barat,62
6202,Kab. Kotawaringin Timur,62
6203,Kab. Kapuas,62
6204,Kab. Barito Selatan,62
6205,Kab. Barito Utara,62
6206,Kab. Katingan,62
6207,Kab. Seruyan,62
6208,Kab. Sukamara,62
6209,Kab. Lamandau,62
6210,Kab. Gunung Mas,62
6211,Kab. Pulang Pisau,62
6212,Kab. Murung Raya,62
6213,Kab. Barito Timur,62
6271,Kota Palangkaraya,62
6301,Kab. Tanah Laut,63
6302,Kab. Kotabaru,63
6303,Kab. Banjar,63
6304,Kab. Barito Kuala,63
6305,Kab. Tapin,63
6306,Kab. Hulu Sungai Selatan,63
6307,Kab. Hulu Sungai Tengah,63
6308,Kab. Hulu Sungai Utara,63
6309,Kab. Tabalong,63
6310,Kab. Tanah Bumbu,63
6311,Kab. Balangan,63
6371,Kota Banjarmasin,63
6372,Kota Banjarbaru,63
6401,Kab. Paser,64
6402,Kab. Kutai Kartanegara,64
6403,Kab. Berau,64
6407,Kab. Kutai Barat,64
6408,Kab. Kutai Timur,64
6409,Kab. Penajam Paser Utara,64
6411,Kab. Mahakam Ulu,64
6471,Kota Balikpapan,64
6472,Kota Samarinda,64
6474,Kota Bontang,64
6501,Kab. Bulungan,65
6502,Kab. Malinau,65
6503,Kab. Nunukan,65
6504,Kab. Tana Tidung,65
6571,Kota Tarakan,65
7101,Kab. Bolaang Mongondow,71
7102,Kab. Minahasa,71
7103,Kab. Kepulauan Sangihe,71
7104,Kab. Kepulauan Talaud,71
7105,Kab. Minahasa Selatan,71
7106,Kab. Minahasa Utara,71
7107,Kab. Minahasa Tenggara,71
7108,Kab. Bolaang Mongondow Utara,71
7109,Kab. Kep. Siau Tagulandang  Biaro,71
7110,Kab. Bolaang Mongondow Timur,71
7111,Kab. Bolaang Mongondow Selatan,71
7171,Kota Manado,71
7172,Kota Bitung,71
7173,Kota Tomohon,71
7174,Kota Kotamobagu,71
7201,Kab. Banggai,72
7202,Kab. Poso,72
7203,Kab. Donggala,72
7204,Kab. Toli Toli,72
7205,Kab. Buol,72
7206,Kab. Morowali,72
7207,Kab. Banggai Kepulauan,72
7208,Kab. Parigi Moutong,72
7209,Kab. Tojo Una Una,72
7210,Kab. Sigi,72
7211,Kab. Banggai Laut,72
7212,Kab. Morowali Utara,72
7271,Kota Palu,72
7301,Kab. Kepulauan Selayar,73
7302,Kab. Bulukumba,73
7303,Kab. Bantaeng,73
7304,Kab. Jeneponto,73
7305,Kab. Takalar,73
7306,Kab. Gowa,73
7307,Kab. Sinjai,73
7308,Kab. Bone,73
7309,Kab. Maros,73
7310,Kab. Pangkajene Kepulauan,73
7311,Kab. Barru,73
7312,Kab. Soppeng,73
7313,Kab. Wajo,73
7314,Kab. Sidenreng Rappang,73
7315,Kab. Pinrang,73
7316,Kab. Enrekang,73
7317,Kab. Luwu,73
7318,Kab. Tana Toraja,73
7322,Kab. Luwu Utara,73
7324,Kab. Luwu Timur,73
7326,Kab. Toraja Utara,73
7371,Kota Makassar,73
7372,Kota Pare Pare,73
7373,Kota Palopo,73
7401,Kab. Kolaka,74
7402,Kab. Konawe,74
7403,Kab. Muna,74
7404,Kab. Buton,74
7405,Kab. Konawe Selatan,74
7406,Kab. Bombana,74
7407,Kab. Wakatobi,74
7408,Kab. Kolaka Utara,74
7409,Kab. Konawe Utara,74
7410,Kab. Buton Utara,74
7411,Kab. Kolaka Timur,74
7412,Kab. Konawe Kepulauan,74
7413,Kab. Muna Barat,74
7414,Kab. Buton Tengah,74
7415,Kab. Buton Selatan,74
7471,Kota Kendari,74
7472,Kota Bau Bau,74
7501,Kab. Gorontalo,75
7502,Kab. Boalemo,75
7503,Kab. Bone Bolango,75
7504,Kab. Pahuwato,75
7505,Kab. Gorontalo Utara,75
7571,Kota Gorontalo,75
7601,Kab. Pasangkayu,76
7602,Kab. Mamuju,76
7603,Kab. Mamasa,76
7604,Kab. Polewali Mandar,76
7605,Kab. Majene,76
7606,Kab. Mamuju Tengah,76
8101,Kab. Maluku Tengah,81
8102,Kab. Maluku Tenggara,81
8103,Kab. Kepulauan Tanimbar,81
8104,Kab. Buru,81
8105,Kab. Seram Bagian Timur,81
8106,Kab. Seram Bagian Barat,81
8107,Kab. Kepulauan Aru,81
8108,Kab. Maluku Barat Daya,81
8109,Kab. Buru Selatan,81
8171,Kota Ambon,81
8172,Kota Tual,81
8201,Kab. Halmahera Barat,82
8202,Kab. Halmahera Tengah,82
8203,Kab. Halmahera Utara,82
8204,Kab. Halmahera Selatan,82
8205,Kab. Kepulauan Sula,82
8206,Kab. Halmahera Timur,82
8207,Kab. Pulau Morotai,82
8208,Kab. Pulau Taliabu,82
8271,Kota Ternate,82
8272,Kota Tidore Kepulauan,82
9103,Kab. Jayapura,91
9105,Kab. Kepulauan Yapen,91
9106,Kab. Biak Numfor,91
9110,Kab. Sarmi,91
9111,Kab. Keerom,91
9115,Kab. Waropen,91
9119,Kab. Supiori,91
9120,Kab. Mamberamo Raya,91
9171,Kota Jayapura,91
9201,,92
9202,Kab. Manokwari,92
9203,Kab. Fak Fak,92
9204,,92
9205,,92
9206,Kab. Teluk Bintuni,92
9207,Kab. Teluk Wondama,92
9208,Kab. Kaimana,92
9209,,92
9210,,92
9211,Kab. Manokwari Selatan,92
9212,Kab. Pegunungan Arfak,92
9271,,92
9301,Kab. Merauke,93
9302,Kab. Boven Digoel,93
9303,Kab. Mappi,93
9304,Kab. Asmat,93
9401,Kab. Nabire,94
9402,Kab. Puncak Jaya,94
9403,Kab. Paniai,94
9404,Kab. Mimika,94
9405,Kab. Puncak,94
9406,Kab. Dogiyai,94
9407,Kab. Intan Jaya,94
9408,Kab. Deiyai,94
9501,Kab. Jayawijaya,95
9502,Kab Pegunungan Bintang,95
9503,Kab. Yahukimo,95
9504,Kab. Tolikara,95
9505,Kab. Mamberamo Tengah,95
9506,Kab. Yalimo,95
9507,Kab. Lanny Jaya,95
9508,Kab. Nduga,95
